,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
55,"(15,15,15,1.6,1.6,W/T,earnings)",15,15,15,1.6,1.6,W/T,earnings,51.724137931034484,15.89041095890411,50.87719298245614,15.616438356164384,100.0,0.273972602739726,657.5342465753399
113,"(60,60,60,0.8,0.8,W/T,earnings)",60,60,60,0.8,0.8,W/T,earnings,49.45054945054945,24.931506849315067,50.0,21.36986301369863,46.15384615384615,3.5616438356164384,0.0
114,"(60,60,60,1.6,1.6,W/T,earnings)",60,60,60,1.6,1.6,W/T,earnings,44.44444444444444,2.4657534246575343,50.0,1.643835616438356,33.333333333333336,0.821917808219178,0.0
111,"(60,60,60,0.8,0.8,W-L,earnings)",60,60,60,0.8,0.8,W-L,earnings,49.438202247191015,24.383561643835616,50.0,20.82191780821918,46.15384615384615,3.5616438356164384,0.0
63,"(15,15,15,1.6,1.6,W/T,wins)",15,15,15,1.6,1.6,W/T,wins,50.0,20.273972602739725,50.0,20.273972602739725,,0.0,0.0
50,"(15,15,15,1.6,1.6,T/L,earnings)",15,15,15,1.6,1.6,T/L,earnings,50.0,15.342465753424657,50.0,15.342465753424657,,0.0,0.0
103,"(60,60,60,1.6,1.6,W/L,wins)",60,60,60,1.6,1.6,W/L,wins,50.0,4.383561643835616,50.0,4.383561643835616,,0.0,0.0
99,"(60,60,60,0.8,0.8,W/L,earnings)",60,60,60,0.8,0.8,W/L,earnings,48.86363636363637,24.10958904109589,50.0,20.82191780821918,41.666666666666664,3.287671232876712,0.0
98,"(60,60,60,1.2,1.2,W/L,wins)",60,60,60,1.2,1.2,W/L,wins,50.0,7.123287671232877,50.0,7.123287671232877,,0.0,0.0
126,"(60,60,60,1.2,1.2,T/L,wins)",60,60,60,1.2,1.2,T/L,wins,50.0,7.123287671232877,50.0,7.123287671232877,,0.0,0.0
123,"(60,60,60,1.6,1.6,T/L,wins)",60,60,60,1.6,1.6,T/L,wins,50.0,4.383561643835616,50.0,4.383561643835616,,0.0,0.0
125,"(60,60,60,0.8,0.8,T/L,earnings)",60,60,60,0.8,0.8,T/L,earnings,48.86363636363637,24.10958904109589,50.0,20.82191780821918,41.666666666666664,3.287671232876712,0.0
57,"(15,15,15,1.6,1.6,W-L,wins)",15,15,15,1.6,1.6,W-L,wins,50.0,16.986301369863014,50.0,16.986301369863014,,0.0,0.0
38,"(15,15,15,1.6,1.6,W/L,earnings)",15,15,15,1.6,1.6,W/L,earnings,50.0,15.342465753424657,50.0,15.342465753424657,,0.0,0.0
82,"(30,30,30,1.6,1.6,W/T,wins)",30,30,30,1.6,1.6,W/T,wins,46.15384615384615,3.5616438356164384,50.0,2.73972602739726,33.333333333333336,0.821917808219178,0.0
118,"(60,60,60,1.6,1.6,W/T,wins)",60,60,60,1.6,1.6,W/T,wins,42.857142857142854,1.917808219178082,42.857142857142854,1.917808219178082,,0.0,-657.5342465753428
